标准分类,标准命名,算子分级,Package,PyTorch link
Activation,leaky_relu,P0,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.functional.leaky_relu.html?highlight=leaky_relu#torch.nn.functional.leaky_relu>
Activation,hardtanh,P0,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.functional.hardtanh.html?highlight=hardtanh#torch.nn.functional.hardtanh>
Activation,hardshrink,P0,"torch, torch.Tensor, torch.nn.functional",<https://pytorch.org/docs/stable/generated/torch.nn.functional.hardshrink.html?highlight=hardshrink#torch.nn.functional.hardshrink>
Activation,glu,P0,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.functional.glu.html?highlight=glu#torch.nn.functional.glu>
Activation,sigmoid,P0,"torch, torch.Tensor, torch.nn.functional",<https://pytorch.org/docs/stable/generated/torch.nn.functional.sigmoid.html#torch.nn.functional.sigmoid>
Activation,softmax,P0,"torch, torch.Tensor, torch.nn.functional",<https://pytorch.org/docs/stable/generated/torch.nn.functional.softmax.html#torch.nn.functional.softmax>
Activation,log_softmax,P0,"torch, torch.Tensor, torch.nn.functional",<https://pytorch.org/docs/stable/generated/torch.nn.functional.log_softmax.html?highlight=log_softmax#torch.nn.functional.log_softmax>
Activation,elu,P1,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.ELU.html#torch.nn.ELU>
Activation,glu,P1,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.functional.glu.html?highlight=glu#torch.nn.functional.glu>
Activation,softplus,P1,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.functional.softplus.html#torch.nn.functional.softplus>
Activation,prelu,P1,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.functional.prelu.html?highlight=prelu#torch.nn.functional.prelu>
Activation,silu,P1,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.functional.silu.html?highlight=silu#torch.nn.functional.silu>
Activation,celu,P2,"torch, torch.nn.functional",<https://pytorch.org/docs/stable/generated/torch.nn.CELU.html#torch.nn.CELU>
Activation,rrelu,P2,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.functional.rrelu.html#torch.nn.functional.rrelu>
Activation,selu,P2,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.functional.selu.html#torch.nn.functional.selu>
Activation,hardshrink,P2,"torch, torch.Tensor, torch.nn.functional",<https://pytorch.org/docs/stable/generated/torch.nn.functional.hardshrink.html?highlight=hardshrink#torch.nn.functional.hardshrink>
Activation,softshrink,P2,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.functional.softshrink.html#torch.nn.functional.softshrink>
Dropout,dropout,P0,"torch, torch.nn.functional",<https://pytorch.org/docs/stable/generated/torch.nn.Dropout.html?highlight=dropout#torch.nn.Dropout>
Dropout,feature_dropout,P0,torch,
Dropout,alpha_dropout,P2,"torch, torch.nn.functional",<https://pytorch.org/docs/stable/generated/torch.nn.functional.alpha_dropout.html?highlight=alpha_dropout#torch.nn.functional.alpha_dropout>
Dropout,feature_alpha_dropout,P2,"torch, torch.nn.functional",<https://pytorch.org/docs/stable/generated/torch.nn.functional.feature_alpha_dropout.html?highlight=feature_alpha_dropout#torch.nn.functional.feature_alpha_dropout>
Interpolate,meshgrid,P1,torch,<https://pytorch.org/docs/stable/generated/torch.meshgrid.html?highlight=meshgrid#torch.meshgrid>
Interpolate,grid_sample,P1,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.functional.grid_sample.html?highlight=grid_sample#torch.nn.functional.grid_sample>
Interpolate,lerp,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.lerp.html?highlight=lerp#torch.lerp>
Interpolate,affine_grid,P1,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.functional.affine_grid.html?highlight=affine_grid#torch.nn.functional.affine_grid>
Interpolate,interpolate,P2,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.functional.interpolate.html?highlight=interpolate#torch.nn.functional.interpolate>
BLAS,mm,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.mm.html?highlight=torch%20mm#torch.mm>
BLAS,bmm,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.bmm.html#torch.bmm>
BLAS,matmul,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.matmul.html#torch.matmul>
BLAS,addmm,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.addmm.html>
BLAS,baddbmm,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.baddbmm.html?highlight=baddbmm#torch.baddbmm>
BLAS,ger,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.ger.html?highlight=ger#torch.ger>
BLAS,mv,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.mv.html?highlight=mv#torch.mv>
BLAS,dot,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.dot.html?highlight=dot#torch.dot>
BLAS,dot,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.dot.html?highlight=dot#torch.dot>
BLAS,mv,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.mv.html?highlight=mv#torch.mv>
BLAS,bilinear,P2,"torch, torch.nn.functional",<https://pytorch.org/docs/stable/generated/torch.nn.functional.bilinear.html?highlight=bilinear#torch.nn.functional.bilinear>
BLAS,tensordot,P2,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.tensordot.html?highlight=tensordot#torch.tensordot>
BLAS,chain_matmul,P2,torch,<https://pytorch.org/docs/stable/generated/torch.chain_matmul.html?highlight=chain_matmul>
BLAS,addmv,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.addmv.html?highlight=addmv#torch.addmv>
BLAS,addbmm,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.addbmm.html?highlight=addbmm#torch.addbmm>
